conference,year,title,authors
Western Finance Association,2021,Calling All Issuers: The Market for Debt Monitoring,Huaizhi Chen; Lauren H. Cohen; Weiling Liu
Western Finance Association,2021,Social Security and Trends in Wealth Inequality,Sylvain Catherine; Max Miller; Natasha Sarin
Western Finance Association,2021,Value Creation in Shareholder Activism: A Structural Approach,Rui Albuquerque; Slava Fos; Enrique Schroth
Western Finance Association,2021,The Social Value of Debt in the Market for Corporate Control,Mike Burkart; Samuel Lee; Henrik Petri
Western Finance Association,2021,Activism and Indexing in Equilibrium,Steven Baker; David A. Chapman; Michael F. Gallmeyer
Western Finance Association,2021,Equity Term Structures without Dividend Strips Data,Serhiy Kozak; Stefano Giglio; Bryan Kelly
Western Finance Association,2021,A Stock Return Decomposition using Observables,Benjamin Knox; Annette Vissing-Jorgensen
Western Finance Association,2021,The Oligopoly Lucas Tree,Winston Dou; Yan Ji; Wei Wu
Western Finance Association,2021,Counterparty Risk: Implications for Network Linkages and Asset Prices,Fotis Grigoris; Yunzhi Hu; Gill Segal
Western Finance Association,2021,The Market Risk Premium for Unsecured Consumer Credit Risk,Matthias Fleckenstein; Francis Longstaff
Western Finance Association,2021,Monetary Policy and Wealth Effects: The Role of Risk and Heterogeneity,Dejanir Silva; Nicolas Caramp
Western Finance Association,2021,The Burden of Supervision,Giovanni Cerulli; Franco Fiordelisi; David Marques-Ibanez
Western Finance Association,2021,The Real Effects of Bank Supervision: Evidence from On-Site Bank Inspections,Andrea Passalacqua; Paolo Angelini; Francesca Lotti; Giovanni Soggia
Western Finance Association,2021,"Internal Models, Make Believe Prices, and Bond Market Cornering",Ishita Sen; Varun Sharma
Western Finance Association,2021,Banking without Deposits: Evidence from Shadow Bank Call Reports,Erica Xuewei Jiang; Gregor Matvos; Tomasz Piskorski; Amit Seru
Western Finance Association,2021,Using High-Frequency Evaluations to Estimate Discrimination: Evidence from Mortgage Loan Ofﬁcers,Marco Giacoletti; Rawley Heimer; Edison Yu
Western Finance Association,2021,Arbitraging Covered Interest Rate ParityDeviations and Bank Lending,Lorena Keller
Western Finance Association,2021,Mind Thy Neighbor’s Portfolio: A Network Approach to Contagion in the ETF Market,Bruce Iwadate
Western Finance Association,2021,Dominated ETFs,David C. Brown; Scott Cederburg; Mitch Towner
Western Finance Association,2021,Exploited by Complexity,Pengjie Gao; Allen Hu; Peter Kelly; Cameron Peng; Ning Zhu
Western Finance Association,2021,The Boundaries of the Law: Can US Private Enforcement Discipline Foreign Firms?,Massimo Massa; Xiaoqiao Wang; Bohui Zhang; Hong Zhang
Western Finance Association,2021,Misallocation and Capital Market Integration: Evidence from India,Natalie Bau; Adrien Matray
Western Finance Association,2021,Sovereign Debt Ratchets and Welfare Destruction,Peter M. DeMarzo; Zhiguo He; Fabrice Tourre
Western Finance Association,2021,Attention Induced Trading and Returns: Evidence from Robinhood Users,Brad M. Barber; Xing Huang; Terrance Odean; Christopher Schwarz
Western Finance Association,2021,The Effect of Stock Ownership on Individual Spending and Loyalty,Paolina Medina; Vrinda Mittal; Michaela Pagel
Western Finance Association,2021,Memory and Trading,Constantin Charles
Western Finance Association,2021,"Scope, Scale and Competition: The 21st Century Firm",Gerard T. Hoberg; Gordon M. Phillips
Western Finance Association,2021,Product Differentiation and Oligopoly: A Network Approach,Bruno Pellegrino
Western Finance Association,2021,Capital Structure under Imperfect Product Market Competition: Theory and Evidence,Hae Won (Henny) Jung; Dalida Kadyrzhanova; Ajay Subramanian
Western Finance Association,2021,The Value of Privacy: Evidence from Online Borrowers,Huan Tang
Western Finance Association,2021,Rise of the Machines: The Impact of Automated Underwriting,Mark Jansen
Western Finance Association,2021,Is Public Debt Arm’s-Length? Evidence from Corporate Bond Purchases of Life Insurance Companies,Hieu Nguyen; Amin Shams; Monica Barbosa; Ali Ozdagli
Western Finance Association,2021,Modeling Corporate Bond Returns,Jennie Bai
Western Finance Association,2021,Under- and Over-Reaction in Yield Curve Expectations,Bryan Kelly; Diogo Palhares; Seth Pruitt; Chen Wang
Western Finance Association,2021,Marking to Market Corporate Debt,Lorenzo Bretscher; Peter Feldhütter; Andrew Kane; Lukas Schmid
Western Finance Association,2021,In Search of the Origins of Financial Fluctuations: The Inelastic Markets Hypothesis,Arvind Krishnamurthy; Xavier Gabaix; Ralph Koijen
Western Finance Association,2021,Value Without Employment,Simcha Barkai; Stavros Panageas
Western Finance Association,2021,The Finance Uncertainty Multiplier,Ivan Alfaro; Nicholas Bloom; Xiaoji Lin
Western Finance Association,2021,Vestigial Tails? Floor Brokers at the Close in Modern Electronic Markets,Edwin Hu; Dermot Murphy
Western Finance Association,2021,True Cost of Immediacy,Terrence Hendershott; Dan Li; Dmitry Livdan; Norman Schürhoff
Western Finance Association,2021,Equilibrium Data Mining and Data Abundance,Jerome Dugast; Thierry Foucault
Western Finance Association,2021,Wealth Fluctuations and Risk Preferences: Evidence from U.S. Investor Portfolios,Francisco Gomes; Maarten Meeuwis
Western Finance Association,2021,Student Loans and Social Mobility,Mehran Ebrahimian
Western Finance Association,2021,Financial Returns to Household Inventory Management,Scott R. Baker; Stephanie Johnson; Lorenz Kueng
Western Finance Association,2021,Mutual Fund Revenue Sharing in 401(k) plans,Umit Gurun; Veronika K. Pool; Clemens Sialm; Irina Stefanescu
Western Finance Association,2021,The Effect of Advisors’ Incentives on Clients’ Investments,Diego Battiston; Jordi Blanes i Vidal; Rafael Hortala-Vallve; Dong Lou
Western Finance Association,2021,Choosing Investment Managers,Amit Goyal; Sunil Wahal; M. Deniz Yavuz
Western Finance Association,2021,Local Journalism under Private Equity Ownership,Michael Ewens; Arpit Gupta; Sabrina T. Howell
